effect_id,study_id_str,outcome_id_str,sex_of_animals,disease_cohort_str,control_cohort_str,time,d.mean,d.sd,d.n,c.mean,c.sd,c.n,title,authors,breeder_strain,GD_first_administration,cross.fost,poly_I_C_daily_dose_mg_kg,intervention.no,year,ro_b_assessment_blinding_of_animal_carers_handlers,ro_b_assessment_blinding_of_outcome_assessors,ro_b_assessment_random_housing,ro_b_assessment_a_priori_power_calculations,ro_b_assessment_conflict_of_interest,ro_b_assessment_unit_of_analysis_error,ro_b_assessment_random_outcome_assessment,ro_b_assessment_presence_of_sequence_generation,ro_b_assessment_baseline_characteristics,ro_b_assessment_allocation_concealment,ro_b_assessment_incomplete_outcome_data,species_of_animal,strain,outcome_label,prepulse_intensity_d_b,pulse_intensity_d_b,prepulse_duration_ms,interstimulus_interval_ms,is_this_ppi_for_a_specific_pre_pulse_intensity_or_averaged_across_multiple,is_this_ppi_for_a_specific_pulse_intensity_or_is_it_averaged_across_multiple,disease_model,acute_or_chronic,duration_days_if_chronic,administration_route,frequency_of_administration_if_chronic,sham_equivalent,vehicle,author,background_db,pre_pulse_level_above_back,d.mean.adj,c.mean.adj,developmental_stage_PPI,polyIC.dose.cat,SMD,SMDV,same_coh_same_PPI_param_diff_time,same_cohort_diff_PPI_param
1,0198553b-5d6b-4789-8091-f0355a066422,425996c5-d905-4146-9b9c-7ff35e0fa012,male,9880fb3b-eee2-4c1f-a98c-925c32c040c4,4a48db1b-4f66-4b26-aba7-06632e179471,84,68.5,19.18332609,23,76.8,10.2859127,20,Maternal immune activation differentially impacts mature and adult-born hippocampal neurons in male mice.,Zhang Z and van Praag H ,0,15,0,5,0,2015,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6J,84dB : 120dB : 20ms : 100ms,84,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Zhang Z and van Praag H ,68,16,31.5,23.2,adult,moderate,0.518919613,0.096609395,1,65
2,0198553b-5d6b-4789-8091-f0355a066422,d1e44ae0-b3d2-484e-bee3-d77f4a9d362b,male,9880fb3b-eee2-4c1f-a98c-925c32c040c4,4a48db1b-4f66-4b26-aba7-06632e179471,84,17.8,18.22415979,23,23.9,13.86362146,20,Maternal immune activation differentially impacts mature and adult-born hippocampal neurons in male mice.,Zhang Z and van Praag H ,0,15,0,5,0,2015,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6J,72dB : 120dB : 20ms : 100ms,72,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Zhang Z and van Praag H ,68,4,82.2,76.1,adult,moderate,0.366244748,0.095037973,2,65
3,0198553b-5d6b-4789-8091-f0355a066422,f43dbb1f-57ea-4678-9018-d2f70a69ca33,male,9880fb3b-eee2-4c1f-a98c-925c32c040c4,4a48db1b-4f66-4b26-aba7-06632e179471,84,41.1,24.93832392,23,52.9,16.99411663,20,Maternal immune activation differentially impacts mature and adult-born hippocampal neurons in male mice.,Zhang Z and van Praag H ,0,15,0,5,0,2015,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,low RoB,low RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6J,76dB : 120dB : 20ms : 100ms,76,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,Zhang Z and van Praag H ,68,8,58.9,47.1,adult,moderate,0.535664952,0.096814737,3,65
4,115c8863-fa1d-4a06-b640-0204816c544f,428f29d0-5569-487c-999a-b717bd61fdfd,female ,73f14dc8-90b7-4ca9-9b17-f711116173b0,cca61517-8d5e-48e0-91cd-6d2ad50ba6d4,60,31.9,4.808326112,8,53.9,8.202438662,8,"Physical exercise increases adult neurogenesis and telomerase activity, and improves behavioral deficits in a mouse model of schizophrenia.","Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",0,15,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,72dB : 100dB : ?ms : ?ms,72,100,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",65,7,68.1,46.1,adult,moderate,3.093267537,0.549009502,4,66
5,115c8863-fa1d-4a06-b640-0204816c544f,69b81b31-2ebc-432f-af79-88e8b8cd454b,female ,73f14dc8-90b7-4ca9-9b17-f711116173b0,cca61517-8d5e-48e0-91cd-6d2ad50ba6d4,60,27.6,8.202438662,8,47.1,18.66761902,8,"Physical exercise increases adult neurogenesis and telomerase activity, and improves behavioral deficits in a mouse model of schizophrenia.","Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",0,15,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,68dB : 100dB : ?ms : ?ms,68,100,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",65,3,72.4,52.9,adult,moderate,1.278475111,0.301078082,5,66
6,115c8863-fa1d-4a06-b640-0204816c544f,6fbe60e2-43a7-4388-a064-8963db6ccca1,female ,73f14dc8-90b7-4ca9-9b17-f711116173b0,cca61517-8d5e-48e0-91cd-6d2ad50ba6d4,60,31.4,5.939696962,8,48.8,27.43574311,8,"Physical exercise increases adult neurogenesis and telomerase activity, and improves behavioral deficits in a mouse model of schizophrenia.","Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",0,15,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,76dB : 100dB : ?ms : ?ms,76,100,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",65,11,68.6,51.2,adult,moderate,0.828638596,0.27145756,6,66
7,115c8863-fa1d-4a06-b640-0204816c544f,f32e2870-8304-4d02-91a7-5b84687639e6,female ,73f14dc8-90b7-4ca9-9b17-f711116173b0,cca61517-8d5e-48e0-91cd-6d2ad50ba6d4,60,37.2,9.050966799,8,59.2,17.81909089,8,"Physical exercise increases adult neurogenesis and telomerase activity, and improves behavioral deficits in a mouse model of schizophrenia.","Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",0,15,0,5,0,2011,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,low RoB,unclear RoB,unclear RoB,high RoB,mouse,C57BL/6,80dB : 100dB : ?ms : ?ms,80,100,NA,NA,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD15,acute,NA,ip,NA,administration of vehicle used in the polyI:C preparation,0.9% NaCl saline ,"Wolf, Susanne A and Melnik, Andre and Kempermann, Gerd ",65,15,62.8,40.8,adult,moderate,1.471553047,0.317670887,7,66
20,3d65849c-12ad-43a1-bc2a-d00ebe1a8325,6d40a5be-029a-402f-a5fd-33a02e1bb1d9,mixed ,cdb0ae96-7982-4187-9f2e-c4c7551764bf,de536730-fc57-4f3d-86c3-481df0ca6955,56,50.1,12.3,9,51.8,12.17045603,7,Maternal immune activation during gestation interacts with Disc1 point mutation to exacerbate schizophrenia-related behaviors in mice.,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",0,9,0,5,0,2013,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,81dB : 120dB : 20ms: 100ms,81,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,PBS,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",65,16,49.9,48.2,adolescent,moderate,0.131240115,0.254506503,215,67
21,3d65849c-12ad-43a1-bc2a-d00ebe1a8325,94de9b0a-f419-41ae-b0fe-d1832b42d732,mixed ,cdb0ae96-7982-4187-9f2e-c4c7551764bf,de536730-fc57-4f3d-86c3-481df0ca6955,56,38.5,8.7,9,39,19.04940944,7,Maternal immune activation during gestation interacts with Disc1 point mutation to exacerbate schizophrenia-related behaviors in mice.,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",0,9,0,5,0,2013,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,69dB : 120dB : 20ms: 100ms,69,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,PBS,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",65,4,61.5,61,adolescent,moderate,0.033524094,0.254003375,216,67
22,3d65849c-12ad-43a1-bc2a-d00ebe1a8325,94de9b0a-f419-41ae-b0fe-d1832b42d732,mixed ,cdb0ae96-7982-4187-9f2e-c4c7551764bf,de536730-fc57-4f3d-86c3-481df0ca6955,112,31.5,12.3,9,46,15.3453576,7,Maternal immune activation during gestation interacts with Disc1 point mutation to exacerbate schizophrenia-related behaviors in mice.,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",0,9,0,5,0,2013,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,high RoB,unclear RoB,unclear RoB,unclear RoB,unclear RoB,low RoB,mouse,C57BL/6,69dB : 120dB : 20ms: 100ms,69,120,20,100,%PPI for specific pre-pulse intensity ,%PPI for specific pulse intensity ,5mg/kg : GD9,acute,NA,iv,NA,administration of vehicle used in the polyI:C preparation,PBS,"Lipina, Tatiana V and Zai, Clement and Hlousek, Daniela and Roder, John C and Wong, Albert H C ",65,4,68.5,54,adult,moderate,1.001337172,0.285301883,216,67
